,folder,Model,GenderSelf,Feminine,Attractive,LL,LL_F,LL_M,dist_centre_F,dist_centre_H,dist_centre
169,CFD,BF-212,F,5.166666667,4.6,-319.66147598071177,-383.5545369275867,,345.613037109375,400.6338806152344,117.45397186279297
170,CFD,BF-213,F,3.555555556,2.481481481,-358.249379298656,-426.429846547586,,814.5545654296875,123.68080139160156,429.2165222167969
171,CFD,BF-214,F,5.461538462,4.846153846,-312.20321451432955,-333.1972159929498,,157.545166015625,756.9332885742188,438.8890380859375
172,CFD,BF-215,F,4.733333333,3.857142857,-384.4470694695302,-502.1881750303243,,110.05876159667969,625.133056640625,299.06610107421875
173,CFD,BF-216,F,6,4.892857143,-445.86460653200413,-525.9524782706063,,278.6791076660156,480.86328125,179.2033233642578
174,CFD,BF-217,F,5.448275862,4.714285714,-332.9743348026378,-348.946080077121,,466.4590759277344,305.50811767578125,144.52911376953125
175,CFD,BF-218,F,5.625,5.08,-310.357393837098,-359.84060562729417,,222.7753143310547,691.5056762695312,389.7324523925781
176,CFD,BF-219,F,3.137931034,2.310344828,-301.0081714425704,-310.99327854894136,,300.5929260253906,456.65325927734375,161.64865112304688
177,CFD,BF-220,F,3.366666667,2.266666667,-333.12334147878835,-366.9166154121119,,289.20159912109375,450.6089782714844,142.1645050048828
178,CFD,BF-221,F,5.52,4.64,-289.4414549923682,-319.566027006245,,305.1115417480469,993.6292114257812,669.9329223632812
179,CFD,BF-222,F,4.344827586,3.517241379,-385.68900910357854,-443.9787264987774,,176.40493774414062,684.63916015625,372.71258544921875
180,CFD,BF-223,F,5.454545455,4.454545455,-364.0942817121969,-416.6553598637195,,396.9120788574219,1094.2257080078125,770.0098266601562
181,CFD,BF-224,F,2.75862069,2.034482759,-298.6404095356563,-317.32921797048556,,457.19879150390625,1163.036865234375,837.5175170898438
182,CFD,BF-225,F,3.730769231,2.692307692,-332.9521160746476,-391.8501248157256,,441.84149169921875,330.7842102050781,142.25587463378906
183,CFD,BF-226,F,5.481481481,4.62962963,-320.5499810042022,-337.6467077718234,,383.59124755859375,348.6261291503906,71.25740814208984
184,CFD,BF-227,F,2.592592593,2.111111111,-347.4485799174877,-403.54648632746114,,318.5794982910156,1024.5902099609375,697.9700927734375
185,CFD,BF-228,F,4.896551724,4.103448276,-301.9040471838076,-316.6375445900817,,344.208251953125,1041.31298828125,718.0144653320312
186,CFD,BF-229,F,4.846153846,4.730769231,-351.0935448655451,-401.2069844524343,,540.5059814453125,209.08819580078125,169.36651611328125
187,CFD,BF-230,F,4.461538462,3.518518519,-296.34317618215056,-321.0079826006231,,215.29481506347656,604.01611328125,304.04217529296875
188,CFD,BF-231,F,3.814814815,2.888888889,-290.12703648532533,-306.44510515026093,,229.4866943359375,917.8238525390625,594.3115234375
189,CFD,BF-232,F,5.888888889,4.666666667,-306.6777091083936,-318.23044752415205,,412.6337890625,335.9273986816406,105.36570739746094
